kyrBP,InsolationJul65N
425,481.880796
426,481.00596
427,479.456162
428,477.560308
429,475.652764
430,474.078787
431,472.961165
432,472.492651
433,472.739445
434,473.578319
435,475.060052
436,477.001049
437,479.298134
438,481.765715
439,484.290322
440,486.548637
441,488.459689
442,489.772552
443,490.318828
444,490.054106
445,488.98208
446,487.094991
447,484.679759
448,481.827525
449,478.788253
450,475.803389
451,473.02773
452,470.534327
453,468.533815
454,466.947086
455,465.812517
456,465.098807
457,464.764579
458,464.62541
459,464.784564
460,465.005966
461,465.31186
462,465.720344
463,466.18077
464,466.716269
465,467.502226
466,468.447044
467,469.701228
468,471.313665
469,473.25256
470,475.491143
471,478.085165
472,480.773927
473,483.51605
474,486.13325
475,488.301298
476,489.823676
477,490.521797
478,490.082437
479,488.544712
480,485.980347
481,482.492656
482,478.514025
483,474.412272
484,470.525823
485,467.200966
486,464.800143
487,463.288073
488,462.945332
489,463.741261
490,465.634279
491,468.660793
492,472.777836
493,477.681322
494,483.210073
495,488.79763
496,493.639662
497,496.993035
498,497.964673
499,495.968705
500,491.098042
501,483.902634
502,475.275497
503,466.55681
504,458.690059
505,452.261384
506,447.887896
507,445.439756
508,444.893852
509,446.141996
510,448.989161
511,453.298775
512,459.195747
513,466.473005
514,475.055108
515,484.57546
516,494.189284
517,502.714574
518,508.819724
519,511.086299
520,508.884856
521,502.626167
522,493.276629
523,482.62809
524,472.222071
525,463.197261
526,456.181352
527,451.458307
528,448.809798
529,448.038967
530,448.941278
531,451.198149
532,454.735106
533,459.521671
534,465.363661
535,472.123666
536,479.524281
537,486.763424
538,493.151324
539,497.761587
540,499.65371
541,498.627645
542,494.815752
543,488.825365
544,481.732419
545,474.57573
546,468.0148
547,462.749146
548,458.985853
549,456.689964
550,455.894231
551,456.369745
552,457.866849
553,460.321794
554,463.487777
555,467.144763
556,471.25806
557,475.561356
558,479.839341
559,484.02243
560,487.779601
561,490.940408
562,493.378369
563,494.926738
564,495.375745
565,494.911162
566,493.300192
567,490.735892
568,487.343855
569,483.236288
570,478.630318
571,473.845041
572,469.033905
573,464.490963
574,460.485981
575,457.138103
576,454.621604
577,453.077187
578,452.502491
579,452.945122
580,454.46284
581,456.972689
582,460.47013
583,465.009481
584,470.318672
585,476.380984
586,482.816371
587,489.167658
588,494.770106
589,499.004363
590,500.980252
591,500.340659
592,496.938225
593,491.088831
594,483.593497
595,475.434924
596,467.535024
597,460.662445
598,455.361097
599,451.753079
600,449.942243
601,449.75439
602,451.071475
603,453.767939
604,457.860237
605,463.262598
606,470.190323
607,478.565819
608,488.15788
609,498.490964
610,508.404998
611,516.239213
612,520.365846
613,519.182404
614,512.391356
615,500.883358
616,486.577807
617,471.702148
618,458.163225
619,447.092471
620,439.048852
621,433.898034
622,431.429124
623,431.144734
624,432.815866
625,436.175292
626,441.256513
627,448.189765
628,457.073652
629,467.857954
630,480.137812
631,492.702626
632,503.796842
633,511.2484
634,513.299943
635,509.300681
636,500.342382
637,488.496828
638,476.118389
639,465.10813
640,456.593354
641,450.88035
642,447.875008
643,447.20336
644,448.409357
645,451.129601
646,455.087609
647,460.166795
648,466.245068
649,473.276587
650,480.973872
651,489.005527
652,496.540165
653,502.846324
654,506.885204
655,508.055062
656,506.051007
657,501.276459
658,494.430525
659,486.579112
660,478.592676
661,471.328747
662,465.145976
663,460.346995
664,456.978747
665,454.885815
666,454.000323
667,454.129989
668,455.048117
669,456.67674
670,458.77772
671,461.276145
672,463.991817
673,466.920821
674,469.86763
675,472.924163
676,475.926592
677,478.907647
678,481.76673
679,484.465222
680,486.773651
681,488.648115
682,489.788166
683,490.020922
684,489.266763
685,487.365464
686,484.434999
687,480.670382
688,476.411317
689,471.914439
690,467.780277
691,464.146373
692,461.353016
693,459.59797
694,458.896072
695,459.261947
696,460.779161
697,463.303682
698,466.884539
699,471.494397
700,476.977243
701,483.171578
702,489.687362
703,495.845365
704,500.864598
705,503.766568
706,503.727812
707,500.3115
708,493.847862
709,484.94088
710,474.962187
711,465.084345
712,456.327927
713,449.363844
714,444.59844
715,441.905617
716,441.278099
717,442.505342
718,445.353149
719,449.791283
720,455.795506
721,463.264443
722,472.192654
723,482.24652
724,492.708365
725,502.558475
726,510.35534
727,514.495991
728,514.182663
729,509.191861
730,500.410221
731,489.531701
732,478.239588
733,467.836341
734,459.406895
735,453.198553
736,449.169485
737,447.282182
738,447.118068
739,448.497992
740,451.3601
741,455.586715
742,461.122325
743,467.963444
744,475.65288
745,483.565112
746,490.728953
747,495.809772
748,497.743975
749,496.047831
750,490.942996
751,483.450157
752,475.127428
753,467.13906
754,460.580504
755,456.007951
756,453.494002
757,452.963015
758,454.252335
759,456.99483
760,460.955969
761,465.988295
762,471.634523
763,477.672665
764,483.661188
765,488.977801
766,493.104932
767,495.687666
768,496.231195
769,495.032263
770,492.354533
771,488.657794
772,484.676104
773,480.901466
774,477.650823
775,475.290817
776,473.878046
777,473.310606
778,473.598777
779,474.528222
780,475.745654
781,477.074638
782,478.069062
783,478.338796
784,477.709511
785,476.037367
786,473.290726
787,469.963792
788,466.285556
789,462.772738
790,459.881893
791,457.899133
792,456.950174
793,457.271052
794,458.764472
795,461.353776
796,465.048199
797,469.519518
798,474.458912
799,479.590239
800,484.17719
801,487.723897
802,489.731159
803,489.791741
804,487.955949
805,484.64227
806,480.350136
807,475.836188
808,471.763948
809,468.545228
810,466.460936
811,465.678056
812,466.083847
813,467.60102
814,470.239256
815,473.676246
816,477.978598
817,482.867847
818,488.080377
819,493.185536
820,497.741679
821,500.867272
822,502.109981
823,500.899024
824,497.121984
825,491.104625
826,483.596873
827,475.340278
828,467.314973
829,460.231553
830,454.473264
831,450.410221
832,448.06863
833,447.354202
834,448.265966
835,450.578904
836,454.162412
837,458.788335
838,464.210525
839,469.860798
840,475.449356
841,480.218713
842,483.741493
843,485.657112
844,485.924304
845,484.672933
846,482.506435
847,479.847241
848,477.28078
849,475.234656
850,473.918227
851,473.522444
852,473.986922
853,475.33435
854,477.30772
855,479.897817
856,482.727833
857,485.572526
858,488.039844
859,489.728141
860,490.191752
861,489.290004
862,486.861601
863,483.162578
864,478.632668
865,473.79586
866,469.234693
867,465.451556
868,462.733946
869,461.318137
870,461.258882
871,462.560726
872,465.100077
873,468.808178
874,473.281742
875,478.253631
876,483.004862
877,486.852314
878,488.96093
879,488.771351
880,486.025598
881,481.081176
882,474.665807
883,467.841079
884,461.480467
885,456.389258
886,452.968441
887,451.349745
888,451.528909
889,453.38454
890,456.799205
891,461.738298
892,468.081901
893,475.809857
894,484.584099
895,493.870967
896,502.676805
897,509.684049
898,513.383699
899,512.751485
900,507.567576
901,498.563199
902,487.322912
903,475.56428
904,464.813455
905,455.90775
906,449.413562
907,445.216323
908,443.198224
909,443.045279
910,444.609425
911,447.708749
912,452.378526
913,458.571462
914,466.159064
915,474.823252
916,483.748245
917,491.859301
918,497.708657
919,500.138291
920,498.505035
921,493.271421
922,485.525602
923,476.750429
924,468.565989
925,461.765278
926,457.010525
927,454.42663
928,453.82538
929,454.909866
930,457.513111
931,461.193993
932,465.901371
933,471.353285
934,477.379561
935,483.714869
936,489.996622
937,495.712582
938,500.30074
939,503.238176
940,504.028145
941,502.613031
942,499.114297
943,493.94211
944,487.730266
945,481.155523
946,474.670684
947,468.837561
948,463.878981
949,459.891182
950,456.991587
951,455.105849
952,454.116797
953,453.945502
954,454.487063
955,455.483644
956,456.955649
957,458.715133
958,460.644942
959,462.817557
960,465.128366
961,467.617018
962,470.372247
963,473.385529
964,476.625333
965,480.14611
966,483.797452
967,487.396576
968,490.804673
969,493.66618
970,495.607715
971,496.45203
972,495.859532
973,493.718924
974,490.306683
975,485.74748
976,480.55717
977,475.347989
978,470.465018
979,466.352293
980,463.314901
981,461.437661
982,460.734115
983,461.388307
984,463.199419
985,466.348478
986,470.84077
987,476.604726
988,483.458805
989,490.989336
990,498.110275
991,503.619528
992,505.983842
993,503.806476
994,496.868437
995,485.884389
996,472.495415
997,458.850326
998,446.735484
999,437.121957
1000,430.621519
1001,427.174516
1002,426.343131
1003,427.933376
1004,431.488293
1005,436.905115
1006,444.209558
1007,453.62705
1008,465.149609
1009,478.825059
1010,493.843902
1011,508.701445
1012,521.11808
1013,528.456937
1014,528.756874
1015,521.920071
1016,509.693624
1017,494.657033
1018,479.888158
1019,467.090996
1020,457.299557
1021,450.66278
1022,446.880747
1023,445.289335
1024,445.619057
1025,447.326729
1026,450.315788
1027,454.727424
1028,460.559963
1029,467.942327
1030,476.844938
1031,486.535662
1032,495.96267
1033,503.504682
1034,507.253244
1035,505.996338
1036,499.75686
1037,489.475114
1038,477.336217
1039,465.27441
1040,454.867202
1041,446.925804
1042,441.885786
1043,439.406286
1044,439.341503
1045,441.23544
1046,444.717069
1047,449.525682
1048,455.484484
1049,462.242291
1050,469.66499
1051,477.380822
1052,484.870227
1053,491.683766
1054,497.272138
1055,501.071017
1056,502.923974
1057,502.799446
1058,500.844096
1059,497.569314
1060,493.447142
1061,488.857325
1062,484.30357
1063,480.036286
1064,476.136407
1065,472.817777
1066,469.993189
1067,467.64877
1068,465.747658
1069,464.267327
1070,463.023255
1071,462.183168
1072,461.588803
1073,461.334605
1074,461.475159
1075,462.088191
1076,463.135745
1077,464.853432
1078,467.109032
1079,469.94319
1080,473.348256
1081,477.073253
1082,480.937269
1083,484.637551
1084,487.718595
1085,489.738386
1086,490.349399
1087,489.278295
1088,486.471052
1089,482.330012
1090,477.178852
1091,471.76931
1092,466.650922
1093,462.379871
1094,459.231585
1095,457.489236
1096,457.03335
1097,457.96717
1098,460.141489
1099,463.540273
1100,468.170504
1101,474.043198
1102,481.087291
1103,489.100998
1104,497.621804
1105,505.573987
1106,511.762152
1107,514.594717
1108,512.916169
1109,506.307389
1110,495.56354
1111,482.20288
1112,468.267312
1113,455.414568
1114,444.893717
1115,437.119111
1116,432.230568
1117,429.973397
1118,429.997621
1119,432.140576
1120,436.144062
1121,442.106774
1122,450.077067
1123,459.996909
1124,471.747259
1125,484.389752
1126,496.512531
1127,506.137199
1128,511.271472
1129,510.735377
1130,504.893027
1131,495.278987
1132,484.240519
1133,473.68933
1134,465.173281
1135,459.167666
1136,455.781188
1137,454.691834
1138,455.49485
1139,457.815074
1140,461.370742
1141,466.06109
1142,471.802113
1143,478.516093
1144,486.03277
1145,493.779286
1146,500.983425
1147,506.402051
1148,508.937909
1149,507.704624
1150,502.593132
1151,494.25176
1152,484.062702
1153,473.391616
1154,463.558174
1155,455.450397
1156,449.416779
1157,445.595073
1158,443.904623
1159,444.091884
1160,445.935435
1161,449.248171
1162,453.667765
1163,458.957805
1164,464.685629
1165,470.316323
1166,475.379044
1167,479.308081
1168,481.818771
1169,482.785599
1170,482.475729
1171,481.167213
1172,479.446116
1173,477.762178
1174,476.44366
1175,475.76728
1176,475.877772
1177,476.683346
1178,478.190137
1179,480.295409
1180,482.678122
1181,485.260897
1182,487.645249
1183,489.557163
1184,490.667261
1185,490.80531
1186,489.661005
1187,487.477144
1188,484.305398
1189,480.501464
1190,476.53341
1191,472.74417
1192,469.433077
1193,466.944329
1194,465.367409
1195,464.736313
1196,465.145815
1197,466.450362
1198,468.523315
1199,471.249203
1200,474.245269
1201,477.143175
1202,479.482566
1203,480.79812
1204,480.605597
1205,478.983838
1206,475.827451
1207,471.708282
1208,467.205685
1209,462.930303
1210,459.383714
1211,457.094417
1212,456.091486
1213,456.509376
1214,458.375624
1215,461.477607
1216,465.747217
1217,471.054858
1218,477.066352
1219,483.517176
1220,489.963327
1221,495.647912
1222,499.951597
1223,502.20861
1224,501.882553
1225,499.050434
1226,494.125127
1227,487.705356
1228,480.790029
1229,474.188747
1230,468.405093
1231,463.932486
1232,460.949519
1233,459.329525
1234,459.218532
1235,460.416765
1236,462.816933
1237,466.256949
1238,470.497582
1239,474.9141
1240,479.095011
1241,482.13168
1242,483.385544
1243,482.485386
1244,479.537184
1245,474.932319
1246,469.722575
1247,464.718532
1248,460.597129
1249,458.026351
1250,457.099728
1251,457.799686
1252,460.19685
1253,463.940515
1254,468.941573
1255,475.019674
1256,481.826611
1257,488.846012
1258,495.610101
1259,501.01881
1260,504.339259
1261,504.806173
1262,502.110873
1263,496.51993
1264,489.028208
1265,480.56406
1266,472.306497
1267,465.169297
1268,459.492148
1269,455.655478
1270,453.602673
1271,453.279028
1272,454.534763
1273,457.435857
1274,461.703891
1275,467.341723
1276,473.998463
1277,480.980978
1278,487.382877
1279,492.105694
1280,493.81613
1281,492.002633
1282,486.779623
1283,478.894943
1284,469.927629
1285,461.233356
1286,453.856856
1287,448.539606
1288,445.455051
1289,444.521378
1290,445.555485
1291,448.381196
1292,452.635788
1293,458.403962
1294,465.449341
1295,473.670087
1296,482.839874
1297,492.393065
1298,501.363324
1299,508.80404
1300,513.376308
1301,514.248541
1302,511.259372
1303,504.858741
1304,496.209285
1305,486.699596
1306,477.553513
1307,469.565411
1308,463.324527
1309,458.853238
1310,456.129254
1311,455.018363
1312,455.279778
1313,456.766177
1314,459.432087
1315,463.095138
1316,467.596261
1317,472.758342
1318,477.989071
1319,482.719142
1320,486.274603
1321,487.858444
1322,487.130612
1323,484.121286
1324,479.227115
1325,473.221996
1326,467.1228
1327,461.509476
1328,457.114289
1329,454.155745
1330,452.740317
1331,452.810416
1332,454.24238
1333,456.755049
1334,460.176058
1335,464.25344
1336,468.663227
1337,473.200623
1338,477.556529
1339,481.444788
1340,484.711939
1341,487.24771
1342,488.997414
1343,490.092098
1344,490.697595
1345,490.902796
1346,490.998588
1347,491.014297
1348,491.057324
1349,491.066759
1350,491.021326
1351,490.626031
1352,489.800493
1353,488.196147
1354,485.652424
1355,482.09749
1356,477.575584
1357,472.358772
1358,466.822762
1359,461.464116
1360,456.713761
1361,452.999675
1362,450.537371
1363,449.544883
1364,450.040479
1365,452.087798
1366,455.669727
1367,460.772895
1368,467.333925
1369,475.025093
1370,483.467247
1371,491.659146
1372,498.473378
1373,502.461005
1374,502.557789
1375,498.299423
1376,490.31175
1377,480.03286
1378,469.110244
1379,459.144951
1380,451.178534
1381,445.650251
1382,442.580189
1383,441.7872
1384,442.848354
1385,445.59522
1386,449.824066
1387,455.619696
1388,463.122754
1389,472.416664
1390,483.519081
1391,495.807613
1392,508.024913
1393,518.164536
1394,523.803542
1395,523.089382
1396,515.527746
1397,502.50296
1398,486.587611
1399,470.514328
1400,456.382185
1401,445.426827
1402,437.842682
1403,433.471896
1404,431.849189
1405,432.432366
1406,434.842817
1407,438.970103
1408,444.646367
1409,452.084531
1410,461.301768
1411,472.151132
1412,484.156001
1413,496.110968
1414,506.371586
1415,513.077791
1416,514.740936
1417,510.971809
1418,502.730037
1419,491.790469
1420,480.079449
1421,469.439118
1422,460.741353
1423,454.42414
1424,450.552013
1425,448.799476
1426,448.787344
1427,450.336824
1428,453.055777
1429,456.865882
1430,461.63074
1431,467.219662
1432,473.462692
1433,479.992816
1434,486.370246
1435,491.815955
1436,495.807384
1437,497.581659
1438,496.97074
1439,494.024676
1440,489.218517
1441,483.169472
1442,476.832945
1443,470.647035
1444,465.26622
1445,460.950858
1446,457.781588
1447,455.771105
1448,454.904099
1449,454.948353
1450,455.788285
1451,457.356089
1452,459.381345
1453,461.80493
1454,464.60218
1455,467.506281
1456,470.653586
1457,473.927329
1458,477.300824
1459,480.772427
1460,484.397434
1461,487.900961
1462,491.390229
1463,494.542854
1464,497.100949
1465,498.768562
1466,499.278788
1467,498.17251
1468,495.505331
1469,491.253338
1470,485.590842
1471,479.195996
1472,472.496411
1473,466.081832
1474,460.519271
1475,456.108321
1476,452.950982
1477,451.309612
1478,451.039468
1479,452.150414
1480,454.728864
1481,458.734763
1482,464.182255
1483,471.111479
1484,479.125446
1485,487.611977
1486,495.510852
1487,501.262048
1488,503.294465
1489,500.753387
1490,493.440843
1491,482.697735
1492,470.3603
1493,458.4204
1494,448.269483
1495,440.911778
1496,436.36631
1497,434.576029
1498,435.17584
1499,437.731497
1500,441.963072
1501,447.846314
1502,455.275375
1503,464.388034
1504,475.237648
1505,487.343648
1506,499.957537
1507,511.667993
1508,520.313714
1509,524.226
1510,522.276458
1511,514.685144
1512,503.119907
1513,489.887513
1514,476.841444
1515,465.69384
1516,457.06323
1517,451.060622
1518,447.591965
1519,446.264316
1520,446.679023
1521,448.669282
1522,452.058518
1523,456.693085
1524,462.646583
1525,469.601926
1526,477.176966
1527,484.694775
1528,491.18465
1529,495.455961
1530,496.866843
1531,494.932193
1532,490.057633
1533,483.216742
1534,475.52081
1535,468.056479
1536,461.706406
1537,456.895432
1538,453.758702
1539,452.366346
1540,452.473722
1541,453.868998
1542,456.435409
1543,459.83578
1544,463.886453
1545,468.377577
1546,472.954421
1547,477.284307
1548,481.188051
1549,484.200418
1550,486.273668
1551,487.326697
1552,487.416469
1553,486.71561
1554,485.593159
1555,484.167314
1556,482.754892
1557,481.56991
1558,480.582885
1559,479.933341
1560,479.564931
1561,479.315799
1562,479.141359
1563,478.877425
1564,478.322326
1565,477.435023
1566,476.125804
1567,474.373979
1568,472.319434
1569,470.121929
1570,467.95045
1571,466.05441
1572,464.678472
1573,463.897666
1574,463.93456
1575,464.806653
1576,466.473142
1577,468.984347
1578,472.132958
1579,475.710434
1580,479.447649
1581,482.906632
1582,485.585429
1583,487.098298
1584,487.070754
1585,485.369898
1586,482.218875
1587,477.987276
1588,473.25437
1589,468.651423
1590,464.663309
1591,461.647034
1592,459.840447
1593,459.264199
1594,459.942327
1595,461.788858
1596,464.722571
1597,468.649505
1598,473.425476
1599,478.841699
1600,484.40883
1601,489.711658
1602,493.861309
1603,496.211556
1604,496.124016
1605,493.441123
1606,488.367867
1607,481.739156
1608,474.414824
1609,467.402034
1610,461.400616
1611,456.911508
1612,454.1076
1613,453.004577
1614,453.541616
1615,455.510797
1616,458.800329
1617,463.162036
1618,468.36005
1619,474.060648
1620,479.69347
1621,484.739928
1622,488.469933
1623,490.457866
1624,490.360413
1625,488.398705
1626,484.963837
1627,480.778829
1628,476.484852
1629,472.772939
1630,469.91781
1631,468.252505
1632,467.770862
1633,468.421329
1634,470.126345
1635,472.676467
1636,475.855444
1637,479.343718
1638,482.763497
1639,485.606316
1640,487.45217
1641,487.843391
1642,486.6038
1643,483.820116
1644,479.845116
1645,475.150658
1646,470.442085
1647,466.16059
1648,462.756413
1649,460.475119
1650,459.43426
1651,459.607428
1652,461.01071
1653,463.472464
1654,466.880653
1655,470.949437
1656,475.384411
1657,479.573705
1658,483.078923
1659,485.159563
1660,485.425997
1661,483.710636
1662,480.205142
1663,475.37919
1664,470.121245
1665,465.024733
1666,460.745649
1667,457.767293
1668,456.198327
1669,456.082531
1670,457.476867
1671,460.097743
1672,463.951963
1673,468.886674
1674,474.725038
1675,481.250167
1676,488.213189
1677,494.947753
1678,500.960576
1679,505.382145
1680,507.528699
1681,506.926013
1682,503.572293
1683,497.749882
1684,490.284496
1685,482.151619
1686,474.034266
1687,466.817704
1688,460.83121
1689,456.295741
1690,453.27331
1691,451.788193
1692,451.578788
1693,452.761638
1694,455.107441
1695,458.552925
1696,462.930556
1697,468.010793
1698,473.277498
1699,478.282648
1700,482.350537
1701,484.809901
1702,485.414706
1703,484.025947
1704,480.899572
1705,476.773062
1706,472.217125
1707,467.885172
1708,464.355387
1709,461.885683
1710,460.490208
1711,460.380017
1712,461.2301
1713,462.981267
1714,465.491633
1715,468.561245
1716,471.905099
1717,475.554304
1718,479.070596
1719,482.373049
1720,485.31382
1721,487.624979
1722,489.288321
1723,490.317498
1724,490.654825
1725,490.421964
1726,489.816754
1727,488.779675
1728,487.484854
1729,485.985916
1730,484.18456
1731,482.074164
1732,479.72133
1733,476.887973
1734,473.755346
1735,470.385369
1736,466.812186
1737,463.34319
1738,460.213186
1739,457.536594
1740,455.65104
1741,454.670128
1742,454.65688
1743,455.745884
1744,458.009553
1745,461.315766
1746,465.785292
1747,471.243979
1748,477.371104
1749,483.843654
1750,489.94412
1751,494.738849
1752,497.449666
1753,497.310216
1754,494.032064
1755,488.081848
1756,480.343065
1757,471.875215
1758,463.960511
1759,457.351501
1760,452.478818
1761,449.614263
1762,448.610923
1763,449.193275
1764,451.372442
1765,454.820515
1766,459.558327
1767,465.676794
1768,473.102308
1769,481.702353
1770,491.237436
1771,500.661267
1772,508.788801
1773,514.065324
1774,514.897065
1775,510.615592
1776,501.647974
1777,489.312918
1778,475.603325
1779,462.504247
1780,451.197903
1781,442.581123
1782,436.791854
1783,433.667761
1784,432.929324
1785,434.260802
1786,437.357744
1787,442.079492
1788,448.449492
1789,456.31657
1790,465.740825
1791,476.427792
1792,487.738235
1793,498.730362
1794,508.123508
1795,514.343644
1796,516.452296
1797,514.055829
1798,507.629797
1799,498.504016
1800,488.148257
1801,477.953488
1802,468.880204
1803,461.582903
1804,456.093016
1805,452.478084
1806,450.497633
1807,449.907484
1808,450.596153
1809,452.429379
1810,455.268702
1811,459.252752
1812,464.181602
1813,469.942283
1814,476.285322
1815,482.622219
1816,488.183561
1817,492.296094
1818,494.088459
1819,493.217041
1820,489.761589
1821,484.203452
1822,477.360956
1823,470.241782
1824,463.55038
1825,457.953095
1826,453.732212
1827,451.03695
1828,449.797689
1829,449.923995
1830,451.219679
1831,453.549751
1832,456.758066
1833,460.737641
1834,465.338648
1835,470.553836
1836,476.149218
1837,482.057776
1838,488.032975
1839,493.789815
1840,498.960895
1841,503.211842
1842,506.013181
1843,507.114314
1844,506.195968
1845,503.266452
1846,498.442679
1847,492.140007
1848,484.913375
1849,477.277785
1850,469.909566
1851,463.19447
1852,457.535511
1853,453.074437
1854,449.966797
1855,448.119443
1856,447.620002
1857,448.31416
1858,450.309111
1859,453.547541
1860,458.107483
1861,463.956645
1862,470.967665
1863,478.653784
1864,486.353531
1865,492.893821
1866,496.943791
1867,497.414128
1868,493.770371
