AgeYrBP,SeaLevel,TwoSigErr
31875,-85.095,3.074
32000,-84.43,3.073
32125,-84.061,3.0685
32250,-83.986,3.075
32375,-84.215,3.0885
32500,-84.788,3.0825
32625,-85.557,3.083
32750,-86.126,3.082
32875,-86.196,3.0865
33000,-85.786,3.0815
33125,-85.115,3.0675
33250,-84.474,3.0775
33375,-84.073,3.073
33500,-83.944,3.071
33625,-84.048,3.0725
33750,-84.411,3.0695
33875,-85.078,3.0715
34000,-86.027,3.064
34125,-87.153,3.0675
34250,-88.243,3.063
34375,-88.996,3.063
34500,-89.179,3.068
34625,-88.764,3.0695
34750,-87.883,3.0755
34875,-86.658,3.096
35000,-85.191,3.096
35125,-83.621,3.091
35250,-81.985,3.083
35375,-80.302,3.073
35500,-78.756,3.067
35625,-77.505,3.064
35750,-76.552,3.0645
35875,-75.859,3.06
36000,-75.364,3.0585
36125,-74.914,3.0625
36250,-74.373,3.067
36375,-73.784,3.07
36500,-73.333,3.0735
36625,-73.033,3.083
36750,-72.665,3.08
36875,-72.239,3.0825
37000,-72.191,3.088
37125,-73.003,3.093
37250,-74.798,3.105
37375,-77.193,3.1085
37500,-79.662,3.1055
37625,-81.968,3.1
37750,-83.953,3.0975
37875,-85.368,3.084
38000,-86.234,3.0785
38125,-86.751,3.0765
38250,-86.877,3.0725
38375,-86.485,3.0745
38500,-85.677,3.07
38625,-84.751,3.07
38750,-84.096,3.0675
38875,-83.984,3.0645
39000,-84.261,3.0625
39125,-84.459,3.0625
39250,-84.365,3.057
39375,-84.19,3.0565
39500,-84.143,3.057
39625,-84.148,3.055
39750,-84.002,3.0585
39875,-83.617,3.059
40000,-83.108,3.0615
40125,-82.662,3.0675
40250,-82.339,3.065
40375,-82.157,3.0745
40500,-82.127,3.073
40625,-82.117,3.08
40750,-81.917,3.0815
40875,-81.464,3.0875
41000,-80.951,3.0895
41125,-80.671,3.0915
41250,-80.783,3.0845
41375,-81.265,3.0885
41500,-81.953,3.089
41625,-82.666,3.0805
41750,-83.274,3.0805
41875,-83.645,3.089
42000,-83.8,3.08
42125,-83.89,3.0785
42250,-83.903,3.0795
42375,-83.725,3.083
42500,-83.385,3.0845
42625,-82.959,3.0855
42750,-82.446,3.087
42875,-81.872,3.092
43000,-81.365,3.0825
43125,-81.064,3.081
43250,-80.998,3.0815
