YEAR,Melbourne,NYC,Calcutta,NINO34,NAO
2005,14.9,13.58,27.24,0.035833333,-0.26
2006,14.25,13.64,27.42,0.094166667,-0.18
2007,14.8,13.36,27.13,-0.56,-0.38
2008,14.56,13.18,26.91,-0.713333333,-0.68
2009,14.52,12.61,27.87,0.3525,-0.38
2010,14.74,14.14,27.72,-0.43,-2.35
2011,14.57,13.36,27.04,-0.848333333,0.46
2012,14.51,14.44,27.44,-0.031666667,-0.63
2013,15,13.27,26.94,-0.221666667,0.59
2014,15.14,12.31,27.39,0.254166667,0.1
2015,14.47,13.19,27.45,1.47,1.16
2016,15,14.53,27.96,0.395833333,0.39
2017,14.8,13.65,27.61,-0.2025,0.57
2018,15,13.02,27.53,0.0625,0.72
2019,14.99,13.18,27.29,0.5325,-0.03
2020,14.48,13.99,27.03,-0.221666667,0.34
2021,14.39,13.6,27.38,-0.6275,-0.67
2022,14.41,13.76,27.21,-0.8475,-0.06
