date, pm25, pm10, o3, no2, so2, co
26/09/2022,55,19,19,15, ,2
25/09/2022,51,32,20,15, ,1
24/09/2022,54,18,25,11, ,1
23/09/2022,44,23,21,13, , 
22/09/2022,63,19,17,8, , 
21/09/2022,67,23,28,11, ,1
20/09/2022,53,27,21,15,1,2
19/09/2022,30,29,21,18, , 
18/09/2022,28,20,21,13, , 
17/09/2022,42,13,16,12, , 
16/09/2022,31,15,16,17, ,1
15/09/2022,41,8,17,6, , 
14/09/2022,43,15,21,9, ,1
13/09/2022,44,10,18,9, ,2
12/09/2022,45,11,13,9, ,2
11/09/2022,50,12,29,12, ,2
10/09/2022,46,19,30,9, ,2
09/09/2022,44,21,22,17, ,2
08/09/2022,40,12,19,20,1,2
07/09/2022,40,10,18,20,1,3
06/09/2022,43,10,22,12,1,3
05/09/2022,45,18,23,13, ,2
04/09/2022,52,22,18,23, ,3
03/09/2022,60,19,25,15, ,2
02/09/2022,52,20,36,22, ,2
01/09/2022,48,26,28,27, ,2
31/08/2022,38,15,32,15, ,1
30/08/2022,31,19,30,10, ,1
29/08/2022,22,10,24,7, ,1
28/08/2022,24,12,22,6, , 
27/08/2022,45,19,23,9, , 
26/08/2022,42,23,29,17, , 
25/08/2022,42,20,25,16, , 
24/08/2022,36,15,10,17, , 
23/08/2022,32,11,23,17, ,1
22/08/2022,43,9,15,13, ,2
21/08/2022,41,18,23,17, ,1
20/08/2022,37,20,28,13, , 
19/08/2022,26,19,24,14, , 
18/08/2022,25,15,28,22, , 
17/08/2022,51,20,36,20, , 
16/08/2022,56,32,34,18, , 
15/08/2022,43,31,33,21, ,2
14/08/2022,47,31,54,27,1,3
13/08/2022,52,24,61,23,1,4
12/08/2022,56,26,58,23, ,4
11/08/2022,56,26,59,22, ,4
10/08/2022,42,23,48,22, ,4
09/08/2022,42,17,33,17, ,3
08/08/2022,52,13,27,16, ,2
07/08/2022,48,18,31,16, ,6
06/08/2022,49,19,30,18, ,7
05/08/2022,34,19,28,14, ,7
04/08/2022,35,14,28,15, ,4
03/08/2022,39,10,28,12, , 
02/08/2022,36,19,10,11,1, 
01/08/2022,23,16,16,7, , 
31/07/2022,17,7,32,11, , 
30/07/2022,30,6,18,5, , 
29/07/2022,41,17,35,9, ,1
28/07/2022,32,13,40,13, ,1
27/07/2022,27,14,32,15, ,3
26/07/2022,31,14,23,20, ,2
25/07/2022,36,17,23,15, , 
24/07/2022,38,16,24,14,4, 
23/07/2022,34,18,26,11,3, 
22/07/2022,24,17,30,14, ,1
21/07/2022,47,17,24,16, ,1
20/07/2022,70,21,25,12, , 
19/07/2022,69,27,33,10, , 
18/07/2022,73,37,52,21, ,2
17/07/2022,46,38,58,21,1,2
16/07/2022,34,18,41,20, ,2
15/07/2022,26,12,40,15,11,1
14/07/2022,43,13,27,15, ,1
13/07/2022,49,17,29,6, ,1
12/07/2022,55,20,35,13, , 
11/07/2022,68,24,37,27, ,4
10/07/2022,46,20,46,24, ,6
09/07/2022,38,17,43,12, ,4
08/07/2022,44,14,31,12, ,5
07/07/2022,31,17,32,20, ,5
06/07/2022,34,12,28,16, ,3
05/07/2022,36,14,16,11, , 
04/07/2022,26,13,22,12, , 
03/07/2022,33,15,25,16, ,2
02/07/2022,33,12,23,7, , 
01/07/2022,35,20,24,16, ,1
30/06/2022,30,22,24,18, ,1
29/06/2022,33,21,24,22,1,1
28/06/2022,36,17,23,21, ,3
27/06/2022,33,14,27,22, ,4
26/06/2022,63,18,21,19, ,2
25/06/2022,26,14,29,14, ,2
24/06/2022,55,16,29,16, ,2
23/06/2022,50,22,31,22, ,1
22/06/2022,52,24,41,24, , 
21/06/2022,43,21,31,22, , 
20/06/2022,31,17,30,25,1, 
19/06/2022,38,18,29,10, , 
18/06/2022,80,15,26,9, , 
17/06/2022,103,35,24,15, , 
16/06/2022,78,44,52,37,1,2
15/06/2022,64,35,51,43,1,2
14/06/2022,50,29,48,35,1,1
13/06/2022,43,20,42,28,1,2
12/06/2022,45,15,31,20, ,1
11/06/2022,51,19,29,12, ,1
10/06/2022,53,24,26,12, ,1
09/06/2022,48,22,26,21,1,2
08/06/2022,35,23,23,23,1,5
07/06/2022,43,23,27,18,1,2
06/06/2022,40,17,26,18,1,1
05/06/2022,58,15,22,22,1,1
04/06/2022,46,19,25,8, , 
