YEAR,Zurich,Oxford,Dublin,Wien,Kiev,Lisboa,Oslo,Madrid,Verona,Hannover,Vilnius,Helsinki
1941,7.35,9.52,8.15,8.51,6.26,16.02,4.63,13.61,11.22,6.95,3.85,2.16
1942,8.21,9.52,8.39,9.14,4.87,15.93,4.27,14.16,11.99,7.27,3.58,1.29
1943,9.55,11.02,9.2,10.46,7.46,16.88,7.14,14.73,12.99,9.34,6.39,5.32
1944,8.45,10.22,8.74,9.94,8.36,16.43,6.51,13.93,12.07,8.9,6.69,4.99
1945,9.01,10.74,9.42,10.53,6.83,16.93,7.11,15.36,12.65,9.39,5.75,4.46
1946,9.06,10.29,8.7,10.71,8.3,16.18,6.4,14.16,12.77,9.16,5.92,3.71
1947,9.41,9.99,8.41,9.92,6.98,16.69,6.19,14.84,12.11,7.91,5.11,3.46
1948,9.44,10.61,9.03,10.99,8.53,17.29,6.14,14.99,12.54,9.51,6.89,4.41
1949,9.36,11.28,9.62,10.38,8.19,17.57,7.73,15.69,12.62,9.51,7.25,5.84
1950,9.6,10.45,8.8,10.92,8.08,16.68,6.36,15.2,13.17,9.44,6.48,4.5
1951,8.58,9.52,7.91,10.8,8.19,15.94,5.68,13.56,12.91,8.73,6.19,4.26
1952,8.82,10.04,8.48,10.34,7.89,16.32,5.59,14.4,12.51,8.6,5.73,3.31
1953,8.75,9.83,8.79,10.37,7.67,16.72,6.77,14.35,12.59,9.24,6.24,4.88
1954,8.03,9.8,8.38,9.06,6.99,16.14,5.7,14.4,12.18,8.21,5.35,4.51
1955,8.24,9.93,8.53,9.53,8.07,17.09,6.36,15.05,12.2,8.03,6.09,3.52
1956,7.56,9.36,8.28,9.09,6.33,15.69,4.82,13.45,11.35,7.15,4.33,2.52
1957,8.9,10.75,9.07,10.41,8.73,16.09,6.17,14.41,12.24,9.22,7.17,5.19
1958,8.6,10.04,8.62,10.24,7.89,16.22,5.51,14.48,12.61,8.46,5.85,3.33
1959,9.52,10.91,9.4,10.27,8.35,16.46,6.87,14.69,12.68,9.46,7.06,4.92
1960,9.26,10.48,8.95,10.16,7.67,16.39,6.13,14.59,12.4,8.88,5.67,3.36
1961,9.89,10.83,9.02,11.08,9.3,17.02,7.19,15.36,13.51,9.47,7.83,5.79
1962,8.31,9.17,7.83,9.47,8.19,16.52,5.19,14.98,12.13,7.6,5.73,3.49
1963,7.76,8.83,7.83,9.3,7.64,16.05,4.96,14.14,11.91,7.2,5.32,3.19
1964,8.57,10,8.74,9.24,7.02,16.52,6.09,15.15,12.25,7.94,5.44,4.03
1965,7.75,9.37,8.16,8.88,6.88,16,5.73,14.31,11.9,7.73,5.02,3.72
1966,9.3,10.08,8.65,10.65,9.39,16.59,4.69,14.69,12.53,8.85,6.52,3.03
1967,9.43,10.49,8.59,10.79,8.51,16.07,6.34,14.57,12.66,9.6,7.03,4.91
1968,8.68,10.06,8.53,10.49,7.65,16.31,5.61,14.63,12.4,9.01,5.67,3.12
1969,8.59,9.99,8.3,9.83,6.95,16.02,5.84,13.91,12.31,8.48,5.14,3.79
