date, pm25, pm10, o3, no2, so2, co
09/10/2022,43,19,25,5, ,6
08/10/2022,38,18,25,11, ,7
07/10/2022,50,17,25,7, ,6
06/10/2022,57,26,22,11, ,6
05/10/2022,63,34,26,19, ,7
04/10/2022,70,39,34,7, ,6
03/10/2022,68,52,36,15, ,7
02/10/2022,64,49,25,21, ,6
01/10/2022,61,50,29,26, ,8
30/09/2022,62,45,31,6, ,5
29/09/2022,50,36,32,12, ,5
28/09/2022,54,37,25,23, ,103
27/09/2022,52,37,40,13, ,163
26/09/2022,53,31,45,7, , 
25/09/2022,51,30,51,7, , 
24/09/2022,49,30,38,10, , 
23/09/2022,41,29,43,8, , 
22/09/2022,34,22,42,6, , 
21/09/2022,41,19,42,6, ,65
20/09/2022,52,18,38,6, ,76
19/09/2022,55,21,36,9, ,121
18/09/2022,57,23,45,14, ,119
17/09/2022,58,25,45,14, ,99
16/09/2022,55,27,49,7, ,30
15/09/2022,43,28,52,13, ,71
14/09/2022,57,21,55,16, ,103
13/09/2022,59,36,43,10, ,65
12/09/2022,58,34,35,13, ,112
11/09/2022,52,26,55,22, ,163
10/09/2022,47,22,64,21, ,139
09/09/2022,60,23,54,7, ,23
08/09/2022,58,32,60,15, ,97
07/09/2022,52,32,47,20, ,181
06/09/2022,58,25,46,12, ,75
05/09/2022,58,27,45,12, ,98
04/09/2022,67,29,42,15, ,120
03/09/2022,69,35,49,14, ,102
02/09/2022,65,39,47,6, ,28
01/09/2022,72,40,49,13, ,104
31/08/2022,76,43,54,15, ,100
30/08/2022,71,44,64,21, ,169
29/08/2022,63,42,48,25, ,180
28/08/2022,52,43,60,20, ,128
27/08/2022,38,32,56,25, ,147
26/08/2022,53,23,44,8, ,39
25/08/2022,56,29,38,13, ,92
24/08/2022,46,29,39,26, ,243
23/08/2022,51,22,48,24, ,142
22/08/2022,55,22,41,13, ,108
21/08/2022,66,26,53,12, ,65
20/08/2022,52,28,55,18, ,116
19/08/2022,54,20,51,8, ,31
18/08/2022,45,22,47,13, ,76
17/08/2022,55,20,47,20, ,148
16/08/2022,58,22,38,18, ,145
15/08/2022,54,24,45,21, ,169
14/08/2022,53,24,35,13, ,92
13/08/2022,49,22,44,12, ,78
12/08/2022,57,20,42,5, ,21
11/08/2022,57,22,47,15, ,83
10/08/2022,59,22,61,16, ,111
09/08/2022,52,22,44,17, ,138
08/08/2022,53,23,46,15, ,94
07/08/2022,58,23,46,14, ,98
06/08/2022,54,27,42,11, ,66
05/08/2022,57,27,39,5, ,20
04/08/2022,61,31,43,11, ,64
03/08/2022, ,32,48,25, ,103
02/08/2022,74, , , , , 
01/08/2022,64,27, ,35, ,6
31/07/2022,55,29, ,32, ,7
30/07/2022,57,24, ,28, ,6
29/07/2022,53,19, ,8, ,5
28/07/2022,52,23, ,26, ,5
27/07/2022,48,30, ,43, ,7
26/07/2022,41,25, ,50, ,6
25/07/2022,46,23, ,42, ,5
24/07/2022,47,25, ,41, ,6
23/07/2022,45,25, ,32, ,6
22/07/2022,53,19, ,15, ,4
21/07/2022,50,22, ,21, ,5
20/07/2022,44,24, ,25, ,5
19/07/2022,50,26, ,31, ,5
18/07/2022,52,27, ,38, ,5
17/07/2022,53,26, ,36, ,4
16/07/2022,49,23, ,31, ,4
15/07/2022,55,19, ,13, ,4
14/07/2022,55,22, ,13, ,5
13/07/2022,54,23, ,27, ,7
12/07/2022,53,23, ,22, ,8
11/07/2022,48,22, ,19, ,8
10/07/2022,59,18, ,14, ,7
09/07/2022,53,24, ,14, ,8
08/07/2022,51,21, ,13, ,7
07/07/2022,60,20, ,23, ,7
06/07/2022,51,26, ,29, ,8
05/07/2022,53,23, ,24, ,8
04/07/2022,51,22, ,36, ,8
03/07/2022,47,22, ,37, ,8
02/07/2022,58,19, ,24, ,6
01/07/2022,50,20, ,17, ,7
30/06/2022,45,18, ,20, ,6
29/06/2022,57,19, ,32, ,6
28/06/2022,64,22, ,38, ,6
27/06/2022,59,31, ,33, ,6
26/06/2022,43,22, ,37, ,5
25/06/2022,59,16, ,23, ,4
24/06/2022,72,27, ,11, ,3
23/06/2022,61,26, ,29, ,4
22/06/2022,51,28, ,35, ,4
21/06/2022,52,35, ,12, ,2
20/06/2022,51,22, ,26, ,2
19/06/2022,53,22, ,28, ,3
18/06/2022,57,23, ,31, ,4
17/06/2022,59,21, ,13, ,3
16/06/2022,60,23, ,23, ,3
15/06/2022,50,32, ,27, ,3
14/06/2022,39,19, ,25, ,2
13/06/2022,32,14, ,32, ,1
12/06/2022,205,16, ,19, , 
11/06/2022,123,30, ,33, ,2
10/06/2022,62,23, ,22, ,2
09/06/2022,57,35, ,30, ,3
08/06/2022,62,30, ,51, ,3
07/06/2022,69,30, ,48, ,3
06/06/2022,64,32, ,29, ,2
05/06/2022,54,31, ,38, ,1
04/06/2022,65,22, ,25, ,1
03/06/2022,69,29, ,13, , 
02/06/2022,56,34, ,37, ,1
01/06/2022,66,25, ,44, ,1
31/05/2022,63,41, ,42, ,1
30/05/2022,60,31, ,45, ,1
29/05/2022,62,37, ,44, ,1
28/05/2022,59,36, ,36, ,1
27/05/2022,58,30, ,18, ,1
26/05/2022,60,28, ,32, ,3
25/05/2022,59,30, ,47, ,4
24/05/2022,46,26, ,43, ,3
23/05/2022,48,19, ,42, ,5
22/05/2022,61,26, ,17, ,6
21/05/2022,44,37, ,18, ,5
20/05/2022,51,23, ,21, ,4
19/05/2022,70,22, ,28, ,4
18/05/2022,86,36, ,41, ,6
17/05/2022,55,33, ,48, ,7
16/05/2022,53,26, ,37, ,4
15/05/2022,75,26, ,40, ,4
14/05/2022,79,65, ,24, ,6
13/05/2022,63,56, ,27, ,12
12/05/2022,54,33, ,34, ,11
11/05/2022,45,33, ,32, ,12
10/05/2022,45,25, ,37, ,10
09/05/2022,49,21, ,43, ,5
08/05/2022,48,27, ,46, ,4
07/05/2022,37,19, ,36, ,4
06/05/2022,36,13, ,15, ,3
05/05/2022,36,18, ,13, ,3
04/05/2022,72,19, ,6, ,3
03/05/2022,103,50, ,9, ,2
02/05/2022,62,81, ,15, ,1
01/05/2022,67,32, ,26, ,3
30/04/2022,112,42, ,16, ,4
29/04/2022,132,110, ,17, ,6
28/04/2022,62,129, ,50, ,8
27/04/2022,81,43, ,55, ,7
26/04/2022,92,65, ,49, ,6
25/04/2022,131,70, ,50, ,5
24/04/2022,225,207, ,43, ,5
23/04/2022,68,523, ,43, ,6
22/04/2022,54,47, ,9, ,4
21/04/2022,43,29, ,19, ,5
20/04/2022,50,18, ,16, ,4
19/04/2022,81,34, ,25, ,3
18/04/2022,98,63, ,23, ,3
17/04/2022,48,74, ,40, ,6
16/04/2022,51,33, ,27, , 
15/04/2022,50,26, ,26, , 
14/04/2022,42,34, ,19, , 
13/04/2022,32,29, ,19, , 
12/04/2022,24,20, ,10, , 
11/04/2022,47,16, ,5, , 
10/04/2022,58,25, ,17, , 
09/04/2022,45,38, ,23, , 
08/04/2022,116,29, ,10, , 
07/04/2022,105,87, ,4, , 
06/04/2022,126,77, ,13, , 
05/04/2022,115,104, ,16, , 
04/04/2022,93,85, ,22, , 
03/04/2022,83,72, ,11, , 
02/04/2022,76,54, ,28, ,14
01/04/2022,72,50, ,25, ,13
31/03/2022,74,48, ,25, ,14
30/03/2022, ,51, ,40, ,17
28/03/2022,57, , , , , 
27/03/2022, ,31, ,37, ,6
24/03/2022,55, , , , , 
23/03/2022,52,16, ,9, ,5
22/03/2022,51,18, ,29, ,5
21/03/2022,50,19, ,47, ,6
20/03/2022,55,18, ,34, ,6
19/03/2022,42,17, ,39, ,6
18/03/2022,36,14, ,21, ,6
17/03/2022,49,12, ,28, ,5
16/03/2022,42,16, ,51, ,6
15/03/2022,31,14, ,43, ,6
14/03/2022,26,10, ,43, ,6
13/03/2022,40,14, ,41, ,6
12/03/2022,18,11, ,32, ,5
11/03/2022,26,6, ,28, ,6
10/03/2022,90,10, ,18, ,5
09/03/2022,133,71, ,20, ,4
08/03/2022,61,30, ,31, ,5
07/03/2022,98,35, ,45, ,6
06/03/2022,87,84, ,36, ,6
05/03/2022,38,119, ,40, ,4
04/03/2022,46,14, ,28, ,4
03/03/2022,52,16, ,28, ,2
02/03/2022,71,35, ,21, ,2
01/03/2022,66,39, ,60, ,5
28/02/2022,64,40, ,60, ,7
27/02/2022,46,27, ,54, ,5
26/02/2022,35,21, ,24, ,4
25/02/2022,38,10, ,22, ,4
24/02/2022,67,27, ,13, ,2
23/02/2022,74,32, ,43, ,3
22/02/2022,79,41, ,76, ,5
21/02/2022,67,53, ,74, ,6
20/02/2022,58,36, ,40, ,4
19/02/2022,54,29, ,32, ,3
18/02/2022,67, , ,26, ,2
17/02/2022,74, , ,51, ,4
16/02/2022,61,28, ,66, ,4
15/02/2022,52,25, ,53, ,3
14/02/2022,48,21, ,53, ,3
13/02/2022,51,16, ,46, ,3
12/02/2022,49,28, ,24, ,4
11/02/2022,36,19, ,22, ,3
10/02/2022,30,13, ,23, ,3
09/02/2022,62,9, ,22, ,2
08/02/2022,77,33, ,51, ,4
07/02/2022,60,41, ,71, ,7
06/02/2022,46,30, ,50, ,3
05/02/2022,29,21, ,39, ,3
04/02/2022,137,8, ,17, ,2
03/02/2022,58,152, ,17, ,2
02/02/2022,58,35, ,48, ,3
01/02/2022,53,30, ,64, ,5
31/01/2022,62,22, ,45, ,4
30/01/2022,63,36, ,54, ,4
29/01/2022,54,22, ,59, ,4
28/01/2022,32,17, ,35, ,7
27/01/2022,31,9, ,21, ,2
26/01/2022,41,7, ,16, ,2
25/01/2022,55,16, ,20, ,2
24/01/2022,31,11, ,46, ,3
23/01/2022,44,10, ,33, ,3
22/01/2022,46,19, ,24, ,2
21/01/2022,50,18, ,29, ,2
20/01/2022,33,15, ,43, ,5
19/01/2022,34,12, ,38, ,4
18/01/2022,67,10, ,14, ,2
17/01/2022,54,29, ,54, ,4
16/01/2022,40,19, ,54, ,5
15/01/2022,25,10, ,44, ,4
14/01/2022,31,8, ,14, , 
13/01/2022,72,4, ,20, ,2
12/01/2022,71,52, ,39, ,2
11/01/2022,85,43, ,69, ,4
10/01/2022,68,56, ,61, ,7
09/01/2022,54,53, ,35, ,3
08/01/2022,49,35, ,40, ,2
07/01/2022,70,20, ,45, ,4
06/01/2022,58,32, ,65, ,5
05/01/2022,61,30, ,53, ,5
04/01/2022,52,28, ,39, ,4
03/01/2022,51,17, ,35, ,3
02/01/2022,66,15, ,44, ,3
01/01/2022,58,38, ,45, ,3
31/12/2021,62,29, ,22, ,3
30/12/2021,61,31, ,36, ,3
29/12/2021,75,23, ,56, ,4
28/12/2021,73,39, ,72, ,6
27/12/2021,68,46, ,64, ,5
26/12/2021,62,38, ,44, ,3
25/12/2021,44,29, ,47, ,3
24/12/2021,35,17, ,30, ,3
23/12/2021,35,16, ,32, ,2
22/12/2021,44,13, ,35, ,2
21/12/2021,33,508, ,29, ,2
20/12/2021,35, , ,28, ,2
19/12/2021,47,36, ,20, ,1
18/12/2021,31,34, ,22, ,2
17/12/2021,37,13, ,12, ,2
16/12/2021,43,12, ,24, ,2
15/12/2021,31,23, ,33, ,2
14/12/2021,89,20, ,25, ,2
13/12/2021,101,71, ,34, ,3
12/12/2021,111,78, ,62, ,4
11/12/2021,98,97, ,50, ,3
10/12/2021,72,95, ,32, ,4
09/12/2021,134,67, ,30, ,3
08/12/2021,145,139, ,43, ,4
07/12/2021,75,331, ,18, ,2
06/12/2021,85,66, ,62, ,4
05/12/2021,66,77, ,55, ,3
04/12/2021,50,55, ,42, ,3
03/12/2021,49,27, ,41, ,5
02/12/2021,37,25, ,47, ,4
01/12/2021,52,19, ,44, ,3
30/11/2021,75,30, ,30, ,2
29/11/2021,92,48, ,52, ,3
28/11/2021,73,61, ,56, ,3
27/11/2021,62,51, ,74, ,4
26/11/2021,125,31, ,42, ,4
25/11/2021,76,28, ,46, ,4
24/11/2021,69,44, ,68, ,5
23/11/2021,59,38, ,66, ,4
22/11/2021,58,37, ,63, ,4
21/11/2021,47,35, ,28, ,6
20/11/2021,29,26, ,21, , 
19/11/2021,63,10, ,6, , 
18/11/2021,88,19, ,6, , 
17/11/2021,93,53, ,38, ,4
16/11/2021,111,60, ,61, ,4
15/11/2021,84,69, ,80, ,6
14/11/2021,146,65, ,57, ,4
13/11/2021,126,199, ,33, ,2
12/11/2021,65,265, ,19, ,2
11/11/2021,62,57, ,33, ,2
10/11/2021,68,32, ,45, ,3
09/11/2021,72,48, ,60, ,4
08/11/2021,63,48, ,56, ,3
07/11/2021,66,40, ,48, ,3
06/11/2021,51,34, ,57, ,4
05/11/2021,60,24, ,30, ,3
04/11/2021,58,23, ,43, ,4
03/11/2021,53,24, ,41, ,4
02/11/2021,62,22, ,44, ,4
01/11/2021,86,43, ,38, ,3
31/10/2021,78,62, ,44, ,4
30/10/2021,80,52, ,44, ,4
29/10/2021,93,49, ,24, ,4
28/10/2021,86,55, ,37, ,3
27/10/2021,70,52, ,56, ,4
26/10/2021,63,43, ,56, ,4
25/10/2021,60,27, ,44, ,4
24/10/2021,50,32, ,35, ,3
23/10/2021,43,22, ,40, ,3
22/10/2021,48,16, ,16, ,4
21/10/2021,62,22, ,29, ,3
20/10/2021,52,24, ,41, ,3
19/10/2021,37,20, ,29, ,3
18/10/2021,39,15, ,37, ,4
17/10/2021,51,18, ,29, ,3
16/10/2021,39,40, ,29, ,2
15/10/2021,63,24, ,27, ,3
14/10/2021,80,41, ,35, ,3
13/10/2021,61,57, ,55, ,3
12/10/2021,71,35, ,50, ,3
11/10/2021,79,47, ,45, ,4
10/10/2021,81,52, ,66, ,5
09/10/2021,69,41, ,64, ,5
08/10/2021,88,38, ,19, ,3
07/10/2021,62,64, ,45, ,4
06/10/2021,64,35, ,64, ,4
05/10/2021,70,24, ,37, ,3
04/10/2021,70,28, ,34, ,2
03/10/2021,69,33, ,24, ,2
02/10/2021,79,25, ,31, ,3
01/10/2021,85,34, ,11, ,2
30/09/2021,64,38, ,25, ,3
29/09/2021,68,27, ,44, ,3
28/09/2021,56,26, ,45, ,3
27/09/2021,55,20, ,19, ,2
26/09/2021,71,26, ,28, ,3
25/09/2021,50,42, ,59, ,3
24/09/2021,41,21, ,26, ,2
23/09/2021,46,16, ,13, ,2
22/09/2021,74,28, ,21, ,2
21/09/2021,74,42, ,33, ,2
20/09/2021,72,39, ,17, ,1
19/09/2021,49,44, ,33, ,2
18/09/2021,44,21, ,43, ,3
17/09/2021,48,20, ,16, ,2
16/09/2021,45,25, ,26, ,2
15/09/2021,33,20, ,17, ,2
14/09/2021,54,26, ,32, ,3
13/09/2021,54,43, ,25, ,2
12/09/2021,37,45, ,55, ,5
11/09/2021,26,24, ,28, ,4
10/09/2021,49,13, ,11, ,3
09/09/2021,55,34, ,16, ,3
08/09/2021,40,40, ,41, ,2
07/09/2021,46,20, ,24, ,2
06/09/2021,42,22, ,11, ,2
05/09/2021,53,22, ,24, ,2
04/09/2021,63,29, ,44, ,3
03/09/2021,62,28, ,13, ,2
02/09/2021,48,29, ,24, ,3
01/09/2021,45,26, ,37, ,3
31/08/2021,62,29, ,33, ,3
30/08/2021, ,40, ,35, ,3
29/08/2021,118, , ,37, ,3
28/08/2021,56,37, ,39, ,3
27/08/2021,78,23, ,19, ,2
26/08/2021,88,37, ,40, ,3
25/08/2021,75,42, ,54, ,3
24/08/2021,55,42, ,34, ,3
23/08/2021,52,36, ,11, ,3
22/08/2021,61,33, ,24, ,2
21/08/2021,59,39, ,36, ,4
20/08/2021,52,26, ,22, ,4
19/08/2021,173,33, ,33, ,4
18/08/2021,55,37, ,39, ,3
17/08/2021,204,29, ,38, ,3
16/08/2021,65,35, ,36, ,4
15/08/2021,49,40, ,36, ,4
14/08/2021,54,31, ,45, ,4
13/08/2021,55, , ,18, ,2
12/08/2021,52,24, ,41, ,3
11/08/2021,53,27, ,48, ,4
10/08/2021,61,31, ,49, ,4
09/08/2021,77,27, ,38, ,4
08/08/2021,66,40, ,38, ,4
07/08/2021,78,40, ,5, ,4
06/08/2021,91,46, ,7, ,2
05/08/2021,82,40, ,55, ,3
04/08/2021,66,45, ,64, ,4
03/08/2021,84,36, ,63, ,3
02/08/2021,74,42, ,61, ,4
01/08/2021,87,38, ,66, ,3
31/07/2021,62,51, ,69, ,4
30/07/2021,55,33, ,11, ,2
29/07/2021,359,35, ,32, ,3
28/07/2021,103,26, ,43, ,3
27/07/2021,79,36, ,43, ,3
26/07/2021,65,38, ,41, ,3
25/07/2021,67,59, ,27, ,3
24/07/2021,53,45, ,37, ,3
23/07/2021,60,28, ,16, ,3
22/07/2021,45,37, ,16, ,2
21/07/2021,37,25, ,20, ,3
20/07/2021,49,19, ,21, ,2
19/07/2021,58,24, ,25, ,3
18/07/2021,67,37, ,45, ,3
17/07/2021,57,41, ,40, ,2
16/07/2021,80,23, ,15, ,1
15/07/2021,78,42, ,35, ,3
14/07/2021,61,46, ,41, ,3
13/07/2021,68,43, ,36, ,3
12/07/2021,61,47, ,37, ,3
11/07/2021,70,44, ,47, ,3
10/07/2021,64,38, ,43, ,4
09/07/2021,60,24, ,20, ,2
08/07/2021,66,25, ,25, ,2
07/07/2021,65,37, ,45, ,3
06/07/2021,64,36, ,46, ,3
05/07/2021,68,29, ,32, ,3
04/07/2021,62,32, ,34, ,3
03/07/2021,83,43, ,22, ,2
02/07/2021,78,50, ,14, ,1
01/07/2021,68,27, ,47, ,3
30/06/2021,75,36, ,49, ,3
29/06/2021,65,38, ,44, ,3
28/06/2021,68,37, ,35, ,3
27/06/2021,61,37, ,45, ,3
26/06/2021,55,29, ,44, ,3
25/06/2021,60,21, ,18, ,1
24/06/2021,66,23, ,38, ,3
23/06/2021,61,27, ,43, ,3
22/06/2021,56,25, ,34, ,3
21/06/2021,52,24, ,32, ,3
20/06/2021,49,22, ,37, ,3
19/06/2021,58,26, ,62, ,3
18/06/2021,53,19, ,12, ,2
17/06/2021,39,20, ,25, ,2
16/06/2021,45,20, ,31, ,3
15/06/2021,45,22, ,26, ,2
14/06/2021,62,20, ,27, ,2
13/06/2021,58,29, ,32, ,3
12/06/2021,44,34, ,42, ,3
11/06/2021,52,19, ,21, ,2
10/06/2021,66,22, ,26, ,2
09/06/2021,80,44, ,39, ,3
08/06/2021,46,42, ,39, ,3
07/06/2021,48,28, ,26, ,3
06/06/2021,52,28, ,41, ,3
05/06/2021,44,27, ,35, ,3
04/06/2021,41,18, ,8, ,2
03/06/2021,36,18, ,25, ,2
02/06/2021,50,23, ,37, ,3
01/06/2021,62,23, ,30, ,3
31/05/2021,88,46, ,39, ,3
30/05/2021,53,62, ,51, ,3
29/05/2021,53,30, ,47, ,3
28/05/2021,56,31, ,14, ,2
27/05/2021,53,31, ,33, ,2
26/05/2021,57,29, ,61, ,3
25/05/2021,58,33, ,48, ,3
24/05/2021,43,30, ,50, ,3
23/05/2021,41,24, ,33, ,3
22/05/2021,33,23, ,29, ,2
21/05/2021,45,17, ,11, ,2
20/05/2021,58,21, ,24, ,2
19/05/2021,52,33, ,43, ,3
18/05/2021,53,26, ,45, ,3
17/05/2021,57,24, ,30, ,3
16/05/2021,51,29, ,18, ,2
15/05/2021,58,22, ,44, ,2
14/05/2021,50,22, ,14, ,2
13/05/2021,61,22, ,31, ,2
12/05/2021,62,31, ,42, ,2
11/05/2021,63,30, ,39, ,2
10/05/2021,98,40, ,46, ,3
09/05/2021,83,75, ,47, ,3
08/05/2021,212,57, ,68, ,5
07/05/2021,75,24, ,23, ,3
06/05/2021,53,26, ,29, ,2
05/05/2021,81,33, ,33, ,2
04/05/2021,77,58, ,33, ,2
03/05/2021,60,53, ,52, ,3
02/05/2021,63,42, ,44, ,3
01/05/2021,52,38, ,46, ,2
30/04/2021,70,31, ,18, ,2
29/04/2021,96,42, ,35, ,3
28/04/2021,76,56, ,62, ,4
27/04/2021,61,48, ,50, ,3
26/04/2021,70,39, ,21, ,2
25/04/2021,75,51, ,21, ,2
24/04/2021,64,49, ,55, ,4
23/04/2021,37,39, ,28, ,3
22/04/2021,112,26, ,42, ,3
21/04/2021,84,22, ,50, ,2
20/04/2021,104,31, ,40, ,3
19/04/2021,99,76, ,68, ,5
18/04/2021,96,72, ,64, ,4
17/04/2021,79,66, ,69, ,4
16/04/2021,74,53, ,25, ,2
15/04/2021,72,48, ,35, ,2
14/04/2021,57,35, ,50, ,3
13/04/2021,53,23, ,55, ,4
12/04/2021,49,21, ,42, ,3
11/04/2021,45,26, ,30, ,3
10/04/2021,35,24, ,24, ,2
09/04/2021,40,21, ,13, ,1
08/04/2021,72,22, ,18, ,2
07/04/2021,81,47, ,48, ,3
06/04/2021,77,64, ,69, ,4
05/04/2021,58,56, ,59, ,4
04/04/2021,56,50, ,65, ,4
03/04/2021,35, , ,58, ,3
02/04/2021,40, , ,17, ,2
01/04/2021,44, , ,20, ,2
31/03/2021,53, , ,32, ,3
30/03/2021,57, , ,33, ,2
29/03/2021,37, , ,47, ,3
28/03/2021,45,15, ,24, ,3
27/03/2021,30,18, ,7, ,2
26/03/2021,29,12, ,4, , 
25/03/2021,29,10, ,8, ,3
24/03/2021,106,16, ,12, ,2
23/03/2021,123,182, ,6, ,3
22/03/2021,98,149, ,23, ,2
21/03/2021,81,71, ,42, ,3
20/03/2021,61,61, ,58, ,3
19/03/2021,39,31, ,37, ,4
18/03/2021,27,19, ,28, ,3
17/03/2021,42,23, ,29, ,2
