YearMon,GMSL,GMSL_notrend,NINO34,TSI_smooth
2005.790436805376,-0.31299204690571086,0.3097991646843727,-0.06,-0.23031234213221216
2005.873765830964,-0.32536393356690724,0.27303745914639194,-0.59,-0.24080792479888874
2005.957094856552,-0.5719124018375702,0.0020991719988309177,-0.92,-0.2505902345283927
2006.04042388214,-0.9193258866009587,-0.36970413164134197,-0.91,-0.2597825494553128
2006.1237529077282,-1.0691098476770924,-0.54387791159426,-0.67,-0.26850853055746016
2006.2070819333162,-1.1822637119548884,-0.6814215947489541,-0.71,-0.2768916243539379
2006.2904109589042,-1.2989487396826678,-0.8224964413535178,-0.32,-0.2850554334574256
2006.3737399844922,-1.167925387821066,-0.7158629083687005,-0.09,-0.29312335274275597
2006.4570690100802,-0.9408083337107593,-0.5131356731351782,0,-0.30121901064770534
2006.5403980356682,-0.6984917729228131,-0.29520893122401626,0.01,-0.3093911648757057
2006.6237270612562,-0.4450405893119914,-0.06614756648997899,0.31,-0.3178404875273846
2006.7070560868442,-0.0846378948855854,0.2698653090596427,0.6,-0.3262980918152082
2006.7903851124322,0.0,0.3301133850684437,0.7,-0.33471177818681686
2006.8737141380202,-0.18979600286815637,0.11592756332350293,0.99,-0.3429941260133539
2006.9570431636082,-0.48797742489647483,-0.2066436775817136,1.14,-0.3510578022666174
2007.0403721891962,-0.7469246534527891,-0.48998072501481227,0.7,-0.3588154739184058
2007.1237012147842,-0.7944208092584624,-0.5618666996972699,0.13,-0.36617980794051724
2007.2070302403722,-0.8069265950396702,-0.5987623043552621,-0.18,-0.37306347130475015
2007.2903592659602,-0.8674117639256477,-0.6836372921180239,-0.32,-0.37937913098290266
2007.3736882915482,-1.0092436287381552,-0.8498589758073158,-0.47,-0.38503948315790487
2007.4570173171362,-0.9890301721738769,-0.8540353381198219,-0.35,-0.38995713638050417
2007.5403463427242,-0.8818878054001011,-0.7712827902228305,-0.59,-0.39400984067469835
2007.6236753683122,-0.6253394145266227,-0.5391242182262501,-0.72,-0.398002860486128
2007.7070043939002,-0.40245389188616476,-0.3406285144625766,-1.11,-0.4023766327219469
2007.7903334194882,-0.24045930263399257,-0.20302374408718876,-1.39,-0.4069898548537163
2007.8736624450762,-0.22156273843350094,-0.2085169987634815,-1.54,-0.4116401109205056
2007.9569914706642,-0.5088625924446921,-0.5202066716514571,-1.58,-0.4161249849613841
2008.0403204962522,-0.7709692842937985,-0.8067031823773478,-1.68,-0.4202420610154212
2008.1236495218402,-0.9100024395396831,-0.9701261565000168,-1.67,-0.423788864677596
2008.2069785474282,-0.9835165712596265,-1.0680301070967446,-1.21,-0.42656303842621773
2008.2903075730162,-1.055032166703212,-1.1639355214171145,-0.99,-0.4283621663003557
2008.3736365986042,-0.8507134271182071,-0.9840066007090076,-0.84,-0.42898377388771336
2008.4569656241922,-0.546775914751827,-0.7044589072194118,-0.68,-0.428164460521657
2008.5402946497802,-0.3910507718511876,-0.5731235831955568,-0.3,-0.4260852884582119
2008.6236236753682,-0.19616649653852572,-0.4026291267596793,-0.13,-0.42347944368958323
2008.7069527009562,0.007832646440591678,-0.22301980265734633,-0.25,-0.4202026090177433
2008.7902817265444,0.11793676120460743,-0.13730550677022862,-0.35,-0.41630031759255076
2008.8736107521324,0.033071566220722756,-0.24656052063089767,-0.46,-0.4118182271120447
2008.9569397777204,-0.21579203351672305,-0.5198139392451279,-0.86,-0.40680194380291773
2009.0402688033084,-0.41718589900377123,-0.7455976236089604,-0.89,-0.4012971056693322
2009.1235978288964,-0.45005975933416964,-0.8028613028161432,-0.79,-0.39534924839221386
2009.2069268544844,-0.3843558659778782,-0.7615472283366361,-0.69,-0.3890040245915981
2009.2902558800724,-0.46527166057703845,-0.8668528418126944,-0.35,-0.38230704303626356
2009.3735849056604,-0.5569917932932171,-0.9829627934056575,0.06,-0.3753039124949889
2009.4569139312484,-0.4916723759553376,-0.9420331949445624,0.31,-0.3682304038957227
2009.5402429568364,-0.17324766409845535,-0.6479983019644645,0.48,-0.3597893693591215
2009.6235719824244,0.2861885275498477,-0.2129519291929458,0.56,-0.3492460640292968
2009.7069010080124,0.6665582301912966,0.14302795457171869,0.68,-0.337010242616342
2009.7902300336004,0.8807222510494791,0.33280215655311685,0.89,-0.323423474798754
2009.8735590591884,0.7775827467198524,0.20527283334670576,1.46,-0.30882756423510677
2009.9568880847764,0.42291215204150884,-0.17378758020842217,1.74,-0.2935638466432215
2010.0402171103644,0.15808784811075358,-0.46300170301607546,1.52,-0.27797412570107377
2010.1235461359524,0.16916933220104138,-0.4763100378025721,1.25,-0.26240008812085247
2010.2068751615404,0.10015928280819374,-0.5697099060722041,0.9,-0.24718295259638748
2010.2902041871284,-0.07880820667629186,-0.773067214433474,0.38,-0.2326642888061756
2010.3735332127164,-0.009533506479258757,-0.7281823331132253,-0.22,-0.21918590046699551
2010.4568622383044,0.14725528782786412,-0.5957833576828868,-0.69,-0.20702053221612005
2010.5401912638924,0.17357446023026066,-0.5938540041572746,-1.07,-0.19463885430268554
2010.6235202894804,0.17,-0.6218182832643196,-1.39,-0.18027139416871335
2010.7068493150684,0.2333194483031339,-0.5828886538380839,-1.6,-0.16431879624856705
2010.7901783406564,0.31,-0.5305979210180021,-1.69,-0.14716235261564597
2010.8735073662444,0.09966795675116531,-0.7653197831436211,-1.64,-0.12918230198676633
2010.9568363918324,-0.16856318295918898,-1.0579407417307598,-1.6,-0.11076005351267305
2011.0401654174204,-0.3218749474294677,-1.235642325077823,-1.54,-0.09227619703551056
2011.1234944430084,-0.40456959877568105,-1.3427267953008206,-1.11,-0.07411120529582578
2011.2068234685964,-0.5927148936815934,-1.5552619090835174,-0.93,-0.056646487517119426
2011.2901524941844,-0.73,-1.7169368342787084,-0.77,-0.04026263351243363
2011.3734815197724,-0.5983592734579346,-1.6096859266134274,-0.52,-0.025340115978661808
2011.4568105453607,-0.2516228176372178,-1.2873392896696085,-0.38,-0.012240146155818366
2011.5401395709487,0.02962905117986996,-1.0304772397293052,-0.43,0.0004832101885969514
2011.6234685965367,0.4625952851038366,-0.6219008246821229,-0.65,0.0145382003676168
2011.7067976221247,0.7292969559829352,-0.3795889726799224,-0.8,0.029549975050258942
2011.7901266477127,0.7838673424188844,-0.34940840512075755,-1.05,0.045197719478406895
2011.8734556733007,0.5867576971936981,-0.5709078692227283,-1.19,0.06116085310684001
