x1,x2,x3,x4
11750.0,-70.18587979898939,-67.60121043918352,-69.1493652741114
11875.0,-70.84052421696754,-68.13093630059291,-67.93933162752468
12000.0,-69.07170333237431,-69.71165603805709,-69.37323499545298
12125.0,-68.94158669295997,-70.50687939171043,-72.61726998394795
12250.0,-76.5050484778404,-73.47556999553778,-78.85888787850901
12375.0,-76.05144824147473,-73.73123331947694,-71.692616977469
12500.0,-77.246850058336,-70.14632768285969,-73.65004531906453
12625.0,-72.81359467946525,-78.72540801605537,-75.0372315995278
12750.0,-73.3519323539305,-76.01212928583344,-72.78660033868599
12875.0,-73.81719588446556,-74.6439177651504,-74.62736866141239
13000.0,-74.17773982277924,-71.54065250090812,-71.39300351670771
13125.0,-76.5792367148728,-66.96736494492983,-73.01817039672059
13250.0,-74.44630567059524,-70.23229490377321,-73.75661381882603
13375.0,-74.19110464743113,-75.67760051189686,-74.24453196147229
13500.0,-73.42240745245802,-69.10935459210619,-74.42120249644282
13625.0,-80.69148094757674,-76.32778047712351,-69.34876742375796
13750.0,-68.68819202940396,-75.60871934881236,-81.05646412068577
13875.0,-76.34496707721384,-72.83307380872353,-76.6084331525633
14000.0,-74.2061210038207,-73.61191335469783,-71.98119183044261
14125.0,-71.8220141142457,-80.65624260424326,-76.57654998745112
14250.0,-78.62372569322964,-72.39603995358866,-69.90149592276492
14375.0,-72.46847965673632,-79.834353347028,-74.39802152830819
14500.0,-77.85730595052658,-77.20698003989867,-74.61503932973324
14625.0,-72.6231806160988,-76.61480070548706,-76.30177301403188
14750.0,-76.34884385568652,-76.34311319988308,-78.2772281432229
14875.0,-74.576169228811,-78.47147367597151,-83.57333122925209
15000.0,-77.4740025931918,-80.01947593610126,-77.76572897067521
15125.0,-78.42919723353604,-83.08536828206279,-82.71362096241002
15250.0,-83.67906370089429,-79.33468695139912,-82.674188975019
15375.0,-82.68320641358191,-82.48080283553146,-83.84209331900837
15500.0,-77.8991728473377,-83.13678304617778,-80.76463701465605
15625.0,-81.09927072718375,-82.05564038939222,-79.56749786909644
15750.0,-83.75906617188765,-79.05346222859475,-78.61881760353415
15875.0,-81.73461296210432,-82.74663717125621,-87.27677398164315
16000.0,-81.33574313312866,-75.75654065754863,-81.38450336182893
16125.0,-83.73825583475139,-80.27974484510868,-85.56215730624422
16250.0,-77.06044374673554,-78.83565930116917,-79.58081056492786
16375.0,-85.5348116568688,-80.83542010007517,-82.76156647478518
16500.0,-84.93816707689206,-84.88448300197587,-83.54439988235026
16625.0,-86.61942431433972,-81.38495828461032,-86.3040206274414
16750.0,-82.21522021600076,-84.39724722183783,-88.4501349352333
16875.0,-83.22351500170512,-80.30186809542835,-88.96394072806314
17000.0,-85.68316524171465,-85.16715776240525,-82.40282286119098
17125.0,-83.36227135662888,-82.70078553897949,-88.2294106620532
17250.0,-84.27004855281832,-81.70682103049666,-86.83804949136281
17375.0,-84.96228349426929,-86.72554351478925,-88.70362528536965
17500.0,-83.40254486735144,-83.32975381114954,-84.11725360790784
17625.0,-86.18877664850635,-82.81870554666865,-82.77862256029294
17750.0,-85.29125466161152,-86.30679176642316,-83.09982432916928
17875.0,-87.74856593673586,-92.69684974672587,-89.19822921666844
18000.0,-89.72829825061605,-85.80819521031727,-87.2063381482216
18125.0,-90.25229529802937,-86.43607288086815,-91.46811581301071
18250.0,-84.18160839415583,-86.33109697527011,-90.88801173681856
18375.0,-96.4567319421824,-91.96343828990962,-87.619293059731
18500.0,-91.81585914668146,-89.19518245465578,-91.85086366389363
18625.0,-95.50990204295292,-92.80849585482962,-89.22256200172964
18750.0,-93.76591508194376,-89.63821797305184,-95.01257949530103
18875.0,-91.28626258705856,-92.72372964136235,-95.61991840983276
19000.0,-88.52354255917125,-92.1838079209851,-95.56875730454065
19125.0,-92.8271100023115,-98.33911047610123,-93.21497664877863
19250.0,-96.1385554464687,-89.55383315887707,-96.15779607022267
19375.0,-92.97174942717778,-97.32949919973376,-98.95866645120424
19500.0,-92.76143767421964,-98.10720519141542,-89.68067856575038
19625.0,-96.10869013831109,-95.56310534844573,-92.87549246906836
19750.0,-102.92724817138522,-97.5349606118414,-95.71731303757706
19875.0,-90.75491211616894,-95.0339813867339,-98.14507530657775
20000.0,-99.78636823402086,-102.15699005476881,-99.27846496154532
20125.0,-99.13565538584905,-101.03872980738508,-99.59604269866307
20250.0,-101.29932586634432,-102.30585354278563,-103.16420068544993
20375.0,-105.19982602490796,-105.3460217134649,-104.891569337633
20500.0,-108.49941454507841,-104.97428695892971,-100.55474040441844
20625.0,-104.77100982710117,-101.27350388697506,-105.04517609897589
20750.0,-98.85057979671346,-105.39097111210594,-102.57090928093697
20875.0,-106.04206294648405,-105.080124919009,-108.89458564504586
21000.0,-105.79173609625713,-102.61971984245245,-102.34495012765315
21125.0,-107.21722740014178,-105.11593200096884,-110.66638266733024
21250.0,-110.47119429895812,-104.16486967994871,-106.81004617416109
21375.0,-106.85769937640106,-107.7796695087916,-106.26814350067903
21500.0,-106.50171721279034,-106.82268627616415,-108.24532165738181
21625.0,-103.66929379075242,-106.49621726355024,-111.77296059972653
21750.0,-103.45053789740807,-112.16910421002525,-103.03352945657423
